#?PETBL/1.0
## name KS X 1001-1992 (GL encoding)
#?o table-name="ksx1001_1992"
#?o charset-chars="94"
#?o charset-dimension="2"
#?o charset-final-byte="C"
0x2459	U+3169		# HANGUL LETTER RIEUL-KIYEOK-SIOS
0x245A	U+316A		# HANGUL LETTER RIEUL-TIKEUT
0x245B	U+316B		# HANGUL LETTER RIEUL-PIEUP-SIOS
0x245C	U+316C		# HANGUL LETTER RIEUL-PANSIOS
0x245D	U+316D		# HANGUL LETTER RIEUL-YEORINHIEUH
0x245E	U+316E		# HANGUL LETTER MIEUM-PIEUP
0x245F	U+316F		# HANGUL LETTER MIEUM-SIOS
0x2460	U+3170		# HANGUL LETTER MIEUM-PANSIOS
0x2461	U+3171		# HANGUL LETTER KAPYEOUNMIEUM
0x2462	U+3172		# HANGUL LETTER PIEUP-KIYEOK
0x2463	U+3173		# HANGUL LETTER PIEUP-TIKEUT
0x2464	U+3174		# HANGUL LETTER PIEUP-SIOS-KIYEOK
0x2465	U+3175		# HANGUL LETTER PIEUP-SIOS-TIKEUT
0x2466	U+3176		# HANGUL LETTER PIEUP-CIEUC
0x2467	U+3177		# HANGUL LETTER PIEUP-THIEUTH
0x2468	U+3178		# HANGUL LETTER KAPYEOUNPIEUP
0x2469	U+3179		# HANGUL LETTER KAPYEOUNSSANGPIEUP
0x246A	U+317A		# HANGUL LETTER SIOS-KIYEOK
0x246B	U+317B		# HANGUL LETTER SIOS-NIEUN
0x246C	U+317C		# HANGUL LETTER SIOS-TIKEUT
0x246D	U+317D		# HANGUL LETTER SIOS-PIEUP
0x246E	U+317E		# HANGUL LETTER SIOS-CIEUC
0x246F	U+317F		# HANGUL LETTER PANSIOS
0x2470	U+3180		# HANGUL LETTER SSANGIEUNG
0x2471	U+3181		# HANGUL LETTER YESIEUNG
0x2472	U+3182		# HANGUL LETTER YESIEUNG-SIOS
0x2473	U+3183		# HANGUL LETTER YESIEUNG-PANSIOS
0x2474	U+3184		# HANGUL LETTER KAPYEOUNPHIEUPH
0x2475	U+3185		# HANGUL LETTER SSANGHIEUH
0x2476	U+3186		# HANGUL LETTER YEORINHIEUH
0x2477	U+3187		# HANGUL LETTER YO-YA
0x2478	U+3188		# HANGUL LETTER YO-YAE
0x2479	U+3189		# HANGUL LETTER YO-I
0x247A	U+318A		# HANGUL LETTER YU-YEO
0x247B	U+318B		# HANGUL LETTER YU-YE
0x247C	U+318C		# HANGUL LETTER YU-I
0x247D	U+318D		# HANGUL LETTER ARAEA
0x247E	U+318E		# HANGUL LETTER ARAEAE
0x2521	U+2170		# SMALL ROMAN NUMERAL ONE
0x2522	U+2171		# SMALL ROMAN NUMERAL TWO
0x2523	U+2172		# SMALL ROMAN NUMERAL THREE
0x2524	U+2173		# SMALL ROMAN NUMERAL FOUR
0x2525	U+2174		# SMALL ROMAN NUMERAL FIVE
0x2526	U+2175		# SMALL ROMAN NUMERAL SIX
0x2527	U+2176		# SMALL ROMAN NUMERAL SEVEN
0x2528	U+2177		# SMALL ROMAN NUMERAL EIGHT
0x2529	U+2178		# SMALL ROMAN NUMERAL NINE
0x252A	U+2179		# SMALL ROMAN NUMERAL TEN
0x2530	U+2160		# ROMAN NUMERAL ONE
0x2531	U+2161		# ROMAN NUMERAL TWO
0x2532	U+2162		# ROMAN NUMERAL THREE
0x2533	U+2163		# ROMAN NUMERAL FOUR
0x2534	U+2164		# ROMAN NUMERAL FIVE
0x2535	U+2165		# ROMAN NUMERAL SIX
0x2536	U+2166		# ROMAN NUMERAL SEVEN
0x2537	U+2167		# ROMAN NUMERAL EIGHT
0x2538	U+2168		# ROMAN NUMERAL NINE
0x2539	U+2169		# ROMAN NUMERAL TEN
0x2541	U+0391		# GREEK CAPITAL LETTER ALPHA
0x2542	U+0392		# GREEK CAPITAL LETTER BETA
0x2543	U+0393		# GREEK CAPITAL LETTER GAMMA
0x2544	U+0394		# GREEK CAPITAL LETTER DELTA
0x2545	U+0395		# GREEK CAPITAL LETTER EPSILON
0x2546	U+0396		# GREEK CAPITAL LETTER ZETA
0x2547	U+0397		# GREEK CAPITAL LETTER ETA
0x2548	U+0398		# GREEK CAPITAL LETTER THETA
0x2549	U+0399		# GREEK CAPITAL LETTER IOTA
0x254A	U+039A		# GREEK CAPITAL LETTER KAPPA
0x254B	U+039B		# GREEK CAPITAL LETTER LAMDA
0x254C	U+039C		# GREEK CAPITAL LETTER MU
0x254D	U+039D		# GREEK CAPITAL LETTER NU
0x254E	U+039E		# GREEK CAPITAL LETTER XI
0x254F	U+039F		# GREEK CAPITAL LETTER OMICRON
0x2550	U+03A0		# GREEK CAPITAL LETTER PI
0x2551	U+03A1		# GREEK CAPITAL LETTER RHO
0x2552	U+03A3		# GREEK CAPITAL LETTER SIGMA
0x2553	U+03A4		# GREEK CAPITAL LETTER TAU
0x2554	U+03A5		# GREEK CAPITAL LETTER UPSILON
0x2555	U+03A6		# GREEK CAPITAL LETTER PHI
0x2556	U+03A7		# GREEK CAPITAL LETTER CHI
0x2557	U+03A8		# GREEK CAPITAL LETTER PSI
0x2558	U+03A9		# GREEK CAPITAL LETTER OMEGA
0x2561	U+03B1		# GREEK SMALL LETTER ALPHA
0x2562	U+03B2		# GREEK SMALL LETTER BETA
0x2563	U+03B3		# GREEK SMALL LETTER GAMMA
0x2564	U+03B4		# GREEK SMALL LETTER DELTA
0x2565	U+03B5		# GREEK SMALL LETTER EPSILON
0x2566	U+03B6		# GREEK SMALL LETTER ZETA
0x2567	U+03B7		# GREEK SMALL LETTER ETA
0x2568	U+03B8		# GREEK SMALL LETTER THETA
0x2569	U+03B9		# GREEK SMALL LETTER IOTA
0x256A	U+03BA		# GREEK SMALL LETTER KAPPA
0x256B	U+03BB		# GREEK SMALL LETTER LAMDA
0x256C	U+03BC		# GREEK SMALL LETTER MU
0x256D	U+03BD		# GREEK SMALL LETTER NU
0x256E	U+03BE		# GREEK SMALL LETTER XI
0x256F	U+03BF		# GREEK SMALL LETTER OMICRON
0x2570	U+03C0		# GREEK SMALL LETTER PI
0x2571	U+03C1		# GREEK SMALL LETTER RHO
0x2572	U+03C3		# GREEK SMALL LETTER SIGMA
0x2573	U+03C4		# GREEK SMALL LETTER TAU
0x2574	U+03C5		# GREEK SMALL LETTER UPSILON
0x2575	U+03C6		# GREEK SMALL LETTER PHI
0x2576	U+03C7		# GREEK SMALL LETTER CHI
0x2577	U+03C8		# GREEK SMALL LETTER PSI
0x2578	U+03C9		# GREEK SMALL LETTER OMEGA
0x2621	U+2500		# BOX DRAWINGS LIGHT HORIZONTAL
0x2622	U+2502		# BOX DRAWINGS LIGHT VERTICAL
0x2623	U+250C		# BOX DRAWINGS LIGHT DOWN AND RIGHT
0x2624	U+2510		# BOX DRAWINGS LIGHT DOWN AND LEFT
0x2625	U+2518		# BOX DRAWINGS LIGHT UP AND LEFT
0x2626	U+2514		# BOX DRAWINGS LIGHT UP AND RIGHT
0x2627	U+251C		# BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0x2628	U+252C		# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0x2629	U+2524		# BOX DRAWINGS LIGHT VERTICAL AND LEFT
0x262A	U+2534		# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0x262B	U+253C		# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0x262C	U+2501		# BOX DRAWINGS HEAVY HORIZONTAL
0x262D	U+2503		# BOX DRAWINGS HEAVY VERTICAL
0x262E	U+250F		# BOX DRAWINGS HEAVY DOWN AND RIGHT
0x262F	U+2513		# BOX DRAWINGS HEAVY DOWN AND LEFT
0x2630	U+251B		# BOX DRAWINGS HEAVY UP AND LEFT
0x2631	U+2517		# BOX DRAWINGS HEAVY UP AND RIGHT
0x2632	U+2523		# BOX DRAWINGS HEAVY VERTICAL AND RIGHT
0x2633	U+2533		# BOX DRAWINGS HEAVY DOWN AND HORIZONTAL
0x2634	U+252B		# BOX DRAWINGS HEAVY VERTICAL AND LEFT
0x2635	U+253B		# BOX DRAWINGS HEAVY UP AND HORIZONTAL
0x2636	U+254B		# BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL
0x2637	U+2520		# BOX DRAWINGS VERTICAL HEAVY AND RIGHT LIGHT
0x2638	U+252F		# BOX DRAWINGS DOWN LIGHT AND HORIZONTAL HEAVY
0x2639	U+2528		# BOX DRAWINGS VERTICAL HEAVY AND LEFT LIGHT
0x263A	U+2537		# BOX DRAWINGS UP LIGHT AND HORIZONTAL HEAVY
0x263B	U+253F		# BOX DRAWINGS VERTICAL LIGHT AND HORIZONTAL HEAVY
0x263C	U+251D		# BOX DRAWINGS VERTICAL LIGHT AND RIGHT HEAVY
0x263D	U+2530		# BOX DRAWINGS DOWN HEAVY AND HORIZONTAL LIGHT
0x263E	U+2525		# BOX DRAWINGS VERTICAL LIGHT AND LEFT HEAVY
0x263F	U+2538		# BOX DRAWINGS UP HEAVY AND HORIZONTAL LIGHT
0x2640	U+2542		# BOX DRAWINGS VERTICAL HEAVY AND HORIZONTAL LIGHT
0x2641	U+2512		# BOX DRAWINGS DOWN HEAVY AND LEFT LIGHT
0x2642	U+2511		# BOX DRAWINGS DOWN LIGHT AND LEFT HEAVY
0x2643	U+251A		# BOX DRAWINGS UP HEAVY AND LEFT LIGHT
0x2644	U+2519		# BOX DRAWINGS UP LIGHT AND LEFT HEAVY
0x2645	U+2516		# BOX DRAWINGS UP HEAVY AND RIGHT LIGHT
0x2646	U+2515		# BOX DRAWINGS UP LIGHT AND RIGHT HEAVY
0x2647	U+250E		# BOX DRAWINGS DOWN HEAVY AND RIGHT LIGHT
0x2648	U+250D		# BOX DRAWINGS DOWN LIGHT AND RIGHT HEAVY
0x2649	U+251E		# BOX DRAWINGS UP HEAVY AND RIGHT DOWN LIGHT
0x264A	U+251F		# BOX DRAWINGS DOWN HEAVY AND RIGHT UP LIGHT
0x264B	U+2521		# BOX DRAWINGS DOWN LIGHT AND RIGHT UP HEAVY
0x264C	U+2522		# BOX DRAWINGS UP LIGHT AND RIGHT DOWN HEAVY
0x264D	U+2526		# BOX DRAWINGS UP HEAVY AND LEFT DOWN LIGHT
0x264E	U+2527		# BOX DRAWINGS DOWN HEAVY AND LEFT UP LIGHT
0x264F	U+2529		# BOX DRAWINGS DOWN LIGHT AND LEFT UP HEAVY
0x2650	U+252A		# BOX DRAWINGS UP LIGHT AND LEFT DOWN HEAVY
0x2651	U+252D		# BOX DRAWINGS LEFT HEAVY AND RIGHT DOWN LIGHT
0x2652	U+252E		# BOX DRAWINGS RIGHT HEAVY AND LEFT DOWN LIGHT
0x2653	U+2531		# BOX DRAWINGS RIGHT LIGHT AND LEFT DOWN HEAVY
0x2654	U+2532		# BOX DRAWINGS LEFT LIGHT AND RIGHT DOWN HEAVY
0x2655	U+2535		# BOX DRAWINGS LEFT HEAVY AND RIGHT UP LIGHT
0x2656	U+2536		# BOX DRAWINGS RIGHT HEAVY AND LEFT UP LIGHT
0x2657	U+2539		# BOX DRAWINGS RIGHT LIGHT AND LEFT UP HEAVY
0x2658	U+253A		# BOX DRAWINGS LEFT LIGHT AND RIGHT UP HEAVY
0x2659	U+253D		# BOX DRAWINGS LEFT HEAVY AND RIGHT VERTICAL LIGHT
0x265A	U+253E		# BOX DRAWINGS RIGHT HEAVY AND LEFT VERTICAL LIGHT
0x265B	U+2540		# BOX DRAWINGS UP HEAVY AND DOWN HORIZONTAL LIGHT
0x265C	U+2541		# BOX DRAWINGS DOWN HEAVY AND UP HORIZONTAL LIGHT
0x265D	U+2543		# BOX DRAWINGS LEFT UP HEAVY AND RIGHT DOWN LIGHT
0x265E	U+2544		# BOX DRAWINGS RIGHT UP HEAVY AND LEFT DOWN LIGHT
0x265F	U+2545		# BOX DRAWINGS LEFT DOWN HEAVY AND RIGHT UP LIGHT
