#?PETBL/1.0
## name ISO-IR 165 (GL encoding)
#?o table-name="iso_ir_165"
#?o charset-chars="94"
#?o charset-dimension="2"
#?o charset-final-byte="E"
0x2453	U+3073		# HIRAGANA LETTER BI
0x2454	U+3074		# HIRAGANA LETTER PI
0x2455	U+3075		# HIRAGANA LETTER HU
0x2456	U+3076		# HIRAGANA LETTER BU
0x2457	U+3077		# HIRAGANA LETTER PU
0x2458	U+3078		# HIRAGANA LETTER HE
0x2459	U+3079		# HIRAGANA LETTER BE
0x245A	U+307A		# HIRAGANA LETTER PE
0x245B	U+307B		# HIRAGANA LETTER HO
0x245C	U+307C		# HIRAGANA LETTER BO
0x245D	U+307D		# HIRAGANA LETTER PO
0x245E	U+307E		# HIRAGANA LETTER MA
0x245F	U+307F		# HIRAGANA LETTER MI
0x2460	U+3080		# HIRAGANA LETTER MU
0x2461	U+3081		# HIRAGANA LETTER ME
0x2462	U+3082		# HIRAGANA LETTER MO
0x2463	U+3083		# HIRAGANA LETTER SMALL YA
0x2464	U+3084		# HIRAGANA LETTER YA
0x2465	U+3085		# HIRAGANA LETTER SMALL YU
0x2466	U+3086		# HIRAGANA LETTER YU
0x2467	U+3087		# HIRAGANA LETTER SMALL YO
0x2468	U+3088		# HIRAGANA LETTER YO
0x2469	U+3089		# HIRAGANA LETTER RA
0x246A	U+308A		# HIRAGANA LETTER RI
0x246B	U+308B		# HIRAGANA LETTER RU
0x246C	U+308C		# HIRAGANA LETTER RE
0x246D	U+308D		# HIRAGANA LETTER RO
0x246E	U+308E		# HIRAGANA LETTER SMALL WA
0x246F	U+308F		# HIRAGANA LETTER WA
0x2470	U+3090		# HIRAGANA LETTER WI
0x2471	U+3091		# HIRAGANA LETTER WE
0x2472	U+3092		# HIRAGANA LETTER WO
0x2473	U+3093		# HIRAGANA LETTER N
0x2521	U+30A1		# KATAKANA LETTER SMALL A
0x2522	U+30A2		# KATAKANA LETTER A
0x2523	U+30A3		# KATAKANA LETTER SMALL I
0x2524	U+30A4		# KATAKANA LETTER I
0x2525	U+30A5		# KATAKANA LETTER SMALL U
0x2526	U+30A6		# KATAKANA LETTER U
0x2527	U+30A7		# KATAKANA LETTER SMALL E
0x2528	U+30A8		# KATAKANA LETTER E
0x2529	U+30A9		# KATAKANA LETTER SMALL O
0x252A	U+30AA		# KATAKANA LETTER O
0x252B	U+30AB		# KATAKANA LETTER KA
0x252C	U+30AC		# KATAKANA LETTER GA
0x252D	U+30AD		# KATAKANA LETTER KI
0x252E	U+30AE		# KATAKANA LETTER GI
0x252F	U+30AF		# KATAKANA LETTER KU
0x2530	U+30B0		# KATAKANA LETTER GU
0x2531	U+30B1		# KATAKANA LETTER KE
0x2532	U+30B2		# KATAKANA LETTER GE
0x2533	U+30B3		# KATAKANA LETTER KO
0x2534	U+30B4		# KATAKANA LETTER GO
0x2535	U+30B5		# KATAKANA LETTER SA
0x2536	U+30B6		# KATAKANA LETTER ZA
0x2537	U+30B7		# KATAKANA LETTER SI
0x2538	U+30B8		# KATAKANA LETTER ZI
0x2539	U+30B9		# KATAKANA LETTER SU
0x253A	U+30BA		# KATAKANA LETTER ZU
0x253B	U+30BB		# KATAKANA LETTER SE
0x253C	U+30BC		# KATAKANA LETTER ZE
0x253D	U+30BD		# KATAKANA LETTER SO
0x253E	U+30BE		# KATAKANA LETTER ZO
0x253F	U+30BF		# KATAKANA LETTER TA
0x2540	U+30C0		# KATAKANA LETTER DA
0x2541	U+30C1		# KATAKANA LETTER TI
0x2542	U+30C2		# KATAKANA LETTER DI
0x2543	U+30C3		# KATAKANA LETTER SMALL TU
0x2544	U+30C4		# KATAKANA LETTER TU
0x2545	U+30C5		# KATAKANA LETTER DU
0x2546	U+30C6		# KATAKANA LETTER TE
0x2547	U+30C7		# KATAKANA LETTER DE
0x2548	U+30C8		# KATAKANA LETTER TO
0x2549	U+30C9		# KATAKANA LETTER DO
0x254A	U+30CA		# KATAKANA LETTER NA
0x254B	U+30CB		# KATAKANA LETTER NI
0x254C	U+30CC		# KATAKANA LETTER NU
0x254D	U+30CD		# KATAKANA LETTER NE
0x254E	U+30CE		# KATAKANA LETTER NO
0x254F	U+30CF		# KATAKANA LETTER HA
0x2550	U+30D0		# KATAKANA LETTER BA
0x2551	U+30D1		# KATAKANA LETTER PA
0x2552	U+30D2		# KATAKANA LETTER HI
0x2553	U+30D3		# KATAKANA LETTER BI
0x2554	U+30D4		# KATAKANA LETTER PI
0x2555	U+30D5		# KATAKANA LETTER HU
0x2556	U+30D6		# KATAKANA LETTER BU
0x2557	U+30D7		# KATAKANA LETTER PU
0x2558	U+30D8		# KATAKANA LETTER HE
0x2559	U+30D9		# KATAKANA LETTER BE
0x255A	U+30DA		# KATAKANA LETTER PE
0x255B	U+30DB		# KATAKANA LETTER HO
0x255C	U+30DC		# KATAKANA LETTER BO
0x255D	U+30DD		# KATAKANA LETTER PO
0x255E	U+30DE		# KATAKANA LETTER MA
0x255F	U+30DF		# KATAKANA LETTER MI
0x2560	U+30E0		# KATAKANA LETTER MU
0x2561	U+30E1		# KATAKANA LETTER ME
0x2562	U+30E2		# KATAKANA LETTER MO
0x2563	U+30E3		# KATAKANA LETTER SMALL YA
0x2564	U+30E4		# KATAKANA LETTER YA
0x2565	U+30E5		# KATAKANA LETTER SMALL YU
0x2566	U+30E6		# KATAKANA LETTER YU
0x2567	U+30E7		# KATAKANA LETTER SMALL YO
0x2568	U+30E8		# KATAKANA LETTER YO
0x2569	U+30E9		# KATAKANA LETTER RA
