#?PETBL/1.0
## name	JIS X 0208-1983 (used with ISO/IEC 646:1991 IRV) (GL encoding)
#?o table-name="jisx0208_1983_irv"
#?o charset-chars="94"
#?o charset-dimension="2"
#?o charset-final-byte="B"
0x2646	U+03B6		# GREEK SMALL LETTER ZETA
0x2647	U+03B7		# GREEK SMALL LETTER ETA
0x2648	U+03B8		# GREEK SMALL LETTER THETA
0x2649	U+03B9		# GREEK SMALL LETTER IOTA
0x264A	U+03BA		# GREEK SMALL LETTER KAPPA
0x264B	U+03BB		# GREEK SMALL LETTER LAMDA
0x264C	U+03BC		# GREEK SMALL LETTER MU
0x264D	U+03BD		# GREEK SMALL LETTER NU
0x264E	U+03BE		# GREEK SMALL LETTER XI
0x264F	U+03BF		# GREEK SMALL LETTER OMICRON
0x2650	U+03C0		# GREEK SMALL LETTER PI
0x2651	U+03C1		# GREEK SMALL LETTER RHO
0x2652	U+03C3		# GREEK SMALL LETTER SIGMA
0x2653	U+03C4		# GREEK SMALL LETTER TAU
0x2654	U+03C5		# GREEK SMALL LETTER UPSILON
0x2655	U+03C6		# GREEK SMALL LETTER PHI
0x2656	U+03C7		# GREEK SMALL LETTER CHI
0x2657	U+03C8		# GREEK SMALL LETTER PSI
0x2658	U+03C9		# GREEK SMALL LETTER OMEGA
0x2721	U+0410		# CYRILLIC CAPITAL LETTER A
0x2722	U+0411		# CYRILLIC CAPITAL LETTER BE
0x2723	U+0412		# CYRILLIC CAPITAL LETTER VE
0x2724	U+0413		# CYRILLIC CAPITAL LETTER GHE
0x2725	U+0414		# CYRILLIC CAPITAL LETTER DE
0x2726	U+0415		# CYRILLIC CAPITAL LETTER IE
0x2727	U+0401		# CYRILLIC CAPITAL LETTER IO
0x2728	U+0416		# CYRILLIC CAPITAL LETTER ZHE
0x2729	U+0417		# CYRILLIC CAPITAL LETTER ZE
0x272A	U+0418		# CYRILLIC CAPITAL LETTER I
0x272B	U+0419		# CYRILLIC CAPITAL LETTER SHORT I
0x272C	U+041A		# CYRILLIC CAPITAL LETTER KA
0x272D	U+041B		# CYRILLIC CAPITAL LETTER EL
0x272E	U+041C		# CYRILLIC CAPITAL LETTER EM
0x272F	U+041D		# CYRILLIC CAPITAL LETTER EN
0x2730	U+041E		# CYRILLIC CAPITAL LETTER O
0x2731	U+041F		# CYRILLIC CAPITAL LETTER PE
