#?PETBL/1.0 SOURCE
#?o name="cp20290-ms-2000"
#?o ucm:code_set_alias="cp20290-ms	ms20290	windows20290	windows-20290"
## Source: 2000/08/26  21:00               66,082 c_20290.nls
#?o license="Public Domain"
0xB4	U+FF55	<-	# FULLWIDTH LATIN SMALL LETTER U
0xB5	U+0076		# LATIN SMALL LETTER V
0xB5	U+FF56	<-	# FULLWIDTH LATIN SMALL LETTER V
0xB6	U+0077		# LATIN SMALL LETTER W
0xB6	U+FF57	<-	# FULLWIDTH LATIN SMALL LETTER W
0xB7	U+0078		# LATIN SMALL LETTER X
0xB7	U+FF58	<-	# FULLWIDTH LATIN SMALL LETTER X
0xB8	U+0079		# LATIN SMALL LETTER Y
0xB8	U+FF59	<-	# FULLWIDTH LATIN SMALL LETTER Y
0xB9	U+007A		# LATIN SMALL LETTER Z
0xB9	U+FF5A	<-	# FULLWIDTH LATIN SMALL LETTER Z
0xBA	U+FF9A		# HALFWIDTH KATAKANA LETTER RE
0xBB	U+FF9B		# HALFWIDTH KATAKANA LETTER RO
0xBC	U+FF9C		# HALFWIDTH KATAKANA LETTER WA
0xBD	U+FF9D		# HALFWIDTH KATAKANA LETTER N
0xBE	U+FF9E		# HALFWIDTH KATAKANA VOICED SOUND MARK
0xBF	U+FF9F		# HALFWIDTH KATAKANA SEMI-VOICED SOUND MARK
0xC0	U+007B		# LEFT CURLY BRACKET
0xC0	U+FF5B	<-	# FULLWIDTH LEFT CURLY BRACKET
0xC1	U+0041		# LATIN CAPITAL LETTER A
0xC1	U+FF21	<-	# FULLWIDTH LATIN CAPITAL LETTER A
0xC2	U+0042		# LATIN CAPITAL LETTER B
0xC2	U+FF22	<-	# FULLWIDTH LATIN CAPITAL LETTER B
0xC3	U+0043		# LATIN CAPITAL LETTER C
0xC3	U+FF23	<-	# FULLWIDTH LATIN CAPITAL LETTER C
0xC4	U+0044		# LATIN CAPITAL LETTER D
0xC4	U+FF24	<-	# FULLWIDTH LATIN CAPITAL LETTER D
0xC5	U+0045		# LATIN CAPITAL LETTER E
0xC5	U+FF25	<-	# FULLWIDTH LATIN CAPITAL LETTER E
0xC6	U+0046		# LATIN CAPITAL LETTER F
0xC6	U+FF26	<-	# FULLWIDTH LATIN CAPITAL LETTER F
0xC7	U+0047		# LATIN CAPITAL LETTER G
0xC7	U+FF27	<-	# FULLWIDTH LATIN CAPITAL LETTER G
0xC8	U+0048		# LATIN CAPITAL LETTER H
0xC8	U+FF28	<-	# FULLWIDTH LATIN CAPITAL LETTER H
0xC9	U+0049		# LATIN CAPITAL LETTER I
0xC9	U+FF29	<-	# FULLWIDTH LATIN CAPITAL LETTER I
0xCA	U+001A	->	# <control>
0xCB	U+001A	->	# <control>
0xCC	U+001A	->	# <control>
0xCD	U+001A	->	# <control>
0xCE	U+001A	->	# <control>
0xCF	U+001A	->	# <control>
0xD0	U+007D		# RIGHT CURLY BRACKET
0xD0	U+FF5D	<-	# FULLWIDTH RIGHT CURLY BRACKET
0xD1	U+004A		# LATIN CAPITAL LETTER J
0xD1	U+FF2A	<-	# FULLWIDTH LATIN CAPITAL LETTER J
0xD2	U+004B		# LATIN CAPITAL LETTER K
0xD2	U+FF2B	<-	# FULLWIDTH LATIN CAPITAL LETTER K
0xD3	U+004C		# LATIN CAPITAL LETTER L
0xD3	U+FF2C	<-	# FULLWIDTH LATIN CAPITAL LETTER L
0xD4	U+004D		# LATIN CAPITAL LETTER M
0xD4	U+FF2D	<-	# FULLWIDTH LATIN CAPITAL LETTER M
0xD5	U+004E		# LATIN CAPITAL LETTER N
0xD5	U+FF2E	<-	# FULLWIDTH LATIN CAPITAL LETTER N
0xD6	U+004F		# LATIN CAPITAL LETTER O
0xD6	U+FF2F	<-	# FULLWIDTH LATIN CAPITAL LETTER O
0xD7	U+0050		# LATIN CAPITAL LETTER P
0xD7	U+FF30	<-	# FULLWIDTH LATIN CAPITAL LETTER P
0xD8	U+0051		# LATIN CAPITAL LETTER Q
0xD8	U+FF31	<-	# FULLWIDTH LATIN CAPITAL LETTER Q
0xD9	U+0052		# LATIN CAPITAL LETTER R
0xD9	U+FF32	<-	# FULLWIDTH LATIN CAPITAL LETTER R
0xDA	U+001A	->	# <control>
0xDB	U+001A	->	# <control>
0xDC	U+001A	->	# <control>
0xDD	U+001A	->	# <control>
0xDE	U+001A	->	# <control>
0xDF	U+001A	->	# <control>
0xE0	U+0024		# DOLLAR SIGN
0xE0	U+FF04	<-	# FULLWIDTH DOLLAR SIGN
0xE1	U+001A	->	# <control>
0xE2	U+0053		# LATIN CAPITAL LETTER S
0xE2	U+FF33	<-	# FULLWIDTH LATIN CAPITAL LETTER S
0xE3	U+0054		# LATIN CAPITAL LETTER T
0xE3	U+FF34	<-	# FULLWIDTH LATIN CAPITAL LETTER T
0xE4	U+0055		# LATIN CAPITAL LETTER U
0xE4	U+FF35	<-	# FULLWIDTH LATIN CAPITAL LETTER U
0xE5	U+0056		# LATIN CAPITAL LETTER V
0xE5	U+FF36	<-	# FULLWIDTH LATIN CAPITAL LETTER V
0xE6	U+0057		# LATIN CAPITAL LETTER W
0xE6	U+FF37	<-	# FULLWIDTH LATIN CAPITAL LETTER W
0xE7	U+0058		# LATIN CAPITAL LETTER X
0xE7	U+FF38	<-	# FULLWIDTH LATIN CAPITAL LETTER X
0xE8	U+0059		# LATIN CAPITAL LETTER Y
0xE8	U+0178	<-	# LATIN CAPITAL LETTER Y WITH DIAERESIS
0xE8	U+FF39	<-	# FULLWIDTH LATIN CAPITAL LETTER Y
0xE9	U+005A		# LATIN CAPITAL LETTER Z
0xE9	U+FF3A	<-	# FULLWIDTH LATIN CAPITAL LETTER Z
0xEA	U+001A	->	# <control>
0xEB	U+001A	->	# <control>
0xEC	U+001A	->	# <control>
0xED	U+001A	->	# <control>
0xEE	U+001A	->	# <control>
0xEF	U+001A	->	# <control>
0xF0	U+0030		# DIGIT ZERO
0xF0	U+FF10	<-	# FULLWIDTH DIGIT ZERO
0xF1	U+0031		# DIGIT ONE
0xF1	U+FF11	<-	# FULLWIDTH DIGIT ONE
0xF2	U+0032		# DIGIT TWO
0xF2	U+FF12	<-	# FULLWIDTH DIGIT TWO
0xF3	U+0033		# DIGIT THREE
0xF3	U+FF13	<-	# FULLWIDTH DIGIT THREE
0xF4	U+0034		# DIGIT FOUR
0xF4	U+FF14	<-	# FULLWIDTH DIGIT FOUR
0xF5	U+0035		# DIGIT FIVE
0xF5	U+FF15	<-	# FULLWIDTH DIGIT FIVE
0xF6	U+0036		# DIGIT SIX
0xF6	U+FF16	<-	# FULLWIDTH DIGIT SIX
0xF7	U+0037		# DIGIT SEVEN
0xF7	U+FF17	<-	# FULLWIDTH DIGIT SEVEN
0xF8	U+0038		# DIGIT EIGHT
0xF8	U+FF18	<-	# FULLWIDTH DIGIT EIGHT
0xF9	U+0039		# DIGIT NINE
0xF9	U+FF19	<-	# FULLWIDTH DIGIT NINE
0xFA	U+001A	->	# <control>
0xFB	U+001A	->	# <control>
0xFC	U+001A	->	# <control>
0xFD	U+001A	->	# <control>
0xFE	U+001A	->	# <control>
0xFF	U+009F		# <control>
